date,team_1,team_2,venue,toss_winner,toss_decision,winner,target
2012-09-11,India,New Zealand,"MA Chidambaram Stadium, Chepauk",India,field,New Zealand,0
2012-09-12,England,South Africa,Edgbaston,South Africa,field,England,1
2012-09-18,Sri Lanka,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Zimbabwe,field,Sri Lanka,1
2012-09-19,Australia,Ireland,R Premadasa Stadium,Ireland,bat,Australia,1
2012-09-20,South Africa,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,field,South Africa,1
2012-09-21,Bangladesh,New Zealand,Pallekele International Cricket Stadium,Bangladesh,field,New Zealand,0
2012-09-22,Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,South Africa,0
2012-09-22,Australia,West Indies,R Premadasa Stadium,West Indies,bat,Australia,1
2012-09-23,New Zealand,Pakistan,Pallekele International Cricket Stadium,Pakistan,bat,Pakistan,0
2012-09-23,England,India,R Premadasa Stadium,England,field,India,0
2012-09-25,Bangladesh,Pakistan,Pallekele International Cricket Stadium,Bangladesh,bat,Pakistan,0
2012-09-27,England,West Indies,Pallekele International Cricket Stadium,West Indies,bat,West Indies,0
2012-09-28,Pakistan,South Africa,R Premadasa Stadium,South Africa,bat,Pakistan,1
2012-09-28,Australia,India,R Premadasa Stadium,India,bat,Australia,1
2012-09-29,England,New Zealand,Pallekele International Cricket Stadium,New Zealand,bat,England,1
2012-09-29,Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,bat,Sri Lanka,1
2012-09-30,Australia,South Africa,R Premadasa Stadium,Australia,field,Australia,1
2012-09-30,India,Pakistan,R Premadasa Stadium,Pakistan,bat,India,1
2012-10-01,Sri Lanka,England,Pallekele International Cricket Stadium,England,field,Sri Lanka,1
2012-10-02,Australia,Pakistan,R Premadasa Stadium,Australia,field,Pakistan,0
2012-10-02,India,South Africa,R Premadasa Stadium,South Africa,field,India,1
2012-10-04,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka,1
2012-10-05,Australia,West Indies,R Premadasa Stadium,West Indies,bat,West Indies,0
2012-10-07,Sri Lanka,West Indies,R Premadasa Stadium,West Indies,bat,West Indies,0
2012-12-10,Bangladesh,West Indies,Shere Bangla National Stadium,West Indies,bat,West Indies,0
2012-12-20,India,England,Subrata Roy Sahara Stadium,India,field,India,1
2012-12-21,South Africa,New Zealand,Kingsmead,New Zealand,bat,South Africa,1
2012-12-22,India,England,Wankhede Stadium,England,field,England,0
2012-12-23,South Africa,New Zealand,Buffalo Park,New Zealand,field,New Zealand,0
2012-12-25,India,Pakistan,M Chinnaswamy Stadium,Pakistan,field,Pakistan,0
2012-12-26,South Africa,New Zealand,St George's Park,South Africa,bat,South Africa,1
2012-12-28,India,Pakistan,"Sardar Patel Stadium, Motera",Pakistan,field,India,1
2013-01-26,Australia,Sri Lanka,Stadium Australia,Australia,bat,Sri Lanka,0
