date,team_1,team_2,venue,toss_winner,toss_decision,winner,target,bat_first_won,team1_last6_wins,team2_last6_wins,team1_h2h_last10,team2_h2h_last10,venue_bat_first_win_rate,team1_elo,team2_elo
2010-10-08,South Africa,Zimbabwe,OUTsurance Oval,Zimbabwe,bat,South Africa,1,0,3,1,0,0,0.5,1076.1110297835698,939.6829481212145
2010-10-10,South Africa,Zimbabwe,De Beers Diamond Oval,South Africa,bat,South Africa,1,1,4,1,1,0,0.5,1088.6378079907674,927.156169914017
2010-10-26,Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,bat,South Africa,0,0,3,4,2,0,0.5,1081.1247144251718,1099.9583429642362
2010-10-27,Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,bat,South Africa,0,0,2,5,2,1,0.5,1062.2078045695316,1118.8752528198763
2010-10-31,Australia,Sri Lanka,Western Australia Cricket Association Ground,Australia,bat,Sri Lanka,0,0,3,3,2,1,0.5,1090.1601966987203,1031.5078402331096
2010-12-26,New Zealand,Pakistan,Eden Park,New Zealand,field,New Zealand,1,0,3,2,1,4,0.5,1020.0046123669183,1045.4412237327138
2010-12-28,New Zealand,Pakistan,Seddon Park,Pakistan,field,New Zealand,1,1,3,1,2,4,0.5,1041.4662508617223,1023.9795852379096
2010-12-30,New Zealand,Pakistan,AMI Stadium,Pakistan,bat,Pakistan,0,1,4,0,3,4,0.5,1060.4604865879505,1004.9853495116814
2011-01-09,South Africa,India,Moses Mabhida Stadium,India,bat,India,0,1,6,3,1,3,0.5,1135.6418336566942,1015.8858320349805
2011-01-12,Australia,England,Adelaide Oval,Australia,bat,England,0,0,2,6,2,2,0.5,1066.815607407139,1133.6480978167572
2011-01-14,Australia,England,Melbourne Cricket Ground,Australia,bat,Australia,1,1,1,6,2,3,0.5,1050.6160353954697,1149.8476698284264
2011-04-21,West Indies,Pakistan,"Beausejour Stadium, Gros Islet",West Indies,bat,West Indies,1,1,2,1,0,0,0.4444444444444444,959.0702777455674,1028.1518908301277
2011-06-04,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,field,India,0,1,2,3,2,0,0.5,982.9953456649437,1042.5189112005207
2011-06-25,England,Sri Lanka,County Ground,Sri Lanka,field,Sri Lanka,0,0,5,3,1,1,0.5,1124.2858548084703,1054.852429524691
2011-08-06,Sri Lanka,Australia,Pallekele International Cricket Stadium,Australia,field,Sri Lanka,1,1,4,1,2,2,0.5,1078.7969654953442,1076.1778504154258
2011-08-08,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka,1,1,4,1,3,2,0.5,1098.6461999677263,1056.3286159430438
2011-08-31,England,India,Old Trafford,India,bat,England,1,0,4,4,1,1,0.5,1100.341318837817,1059.1255941215195
2011-09-16,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,Pakistan,0,1,0,1,0,0,0.5,915.8356349405484,1004.2268229107515
2011-09-18,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,bat,Pakistan,0,1,0,2,0,1,0.5,900.8168329438481,1019.2456249074518
2011-09-23,England,West Indies,Kennington Oval,England,field,England,1,0,4,2,1,4,0.5454545454545454,1117.9798181854842,966.3886627439448
2011-09-25,England,West Indies,Kennington Oval,England,field,West Indies,0,1,4,1,2,4,0.5,1129.7681217978509,954.600359131578
2011-10-11,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,Bangladesh,1,0,0,2,1,1,0.5,852.390419362859,983.9082179594452
2011-10-13,South Africa,Australia,Newlands,South Africa,bat,Australia,0,0,5,1,3,3,0.2222222222222222,1109.008754491154,1038.7526367979935
2011-10-15,Zimbabwe,New Zealand,Harare Sports Club,New Zealand,field,New Zealand,0,0,0,3,0,1,0.5,887.3818294601061,1037.293945269504
2011-10-16,South Africa,Australia,New Wanderers Stadium,Australia,bat,South Africa,1,0,4,2,3,4,0.47058823529411764,1085.0187240203115,1062.742667268836
2011-10-17,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,field,New Zealand,0,1,0,4,0,2,0.4,875.5130072187995,1049.1627675108107
2011-10-29,India,England,Eden Gardens,India,bat,England,0,0,4,3,1,2,0.5,1041.4870947738523,1100.4602629699837
2011-11-25,Pakistan,Sri Lanka,Sheikh Zayed Stadium,Sri Lanka,bat,Pakistan,1,0,3,5,4,2,0.5,1032.6806283911937,1116.2221791127765
2011-11-29,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,Pakistan,0,1,1,4,0,4,0.5,879.6191733343068,1057.3990794617816
2012-02-01,Australia,India,Stadium Australia,India,field,Australia,1,1,2,4,2,2,0.5,1044.023225941022,1024.8496322427088
